headword,word,line_number,filename,context,is_elided,is_final,text_type
long,longe,Book of the Duchess 20,data/riverside_cats/BD_riv.cat,Nat longe tyme to endure,False,False,RIVERSIDE
olde,olde,Book of the Duchess 53,data/riverside_cats/BD_riv.cat,That clerkes had in olde tyme,False,False,RIVERSIDE
long,longe,Book of the Duchess 79,data/riverside_cats/BD_riv.cat,Hom for it was a longe terme,False,False,RIVERSIDE
wel,wele,Book of the Duchess 82,data/riverside_cats/BD_riv.cat,It was not wele he dwelte so,False,False,RIVERSIDE
swete,swete,Book of the Duchess 108,data/riverside_cats/BD_riv.cat,A mercy swete lady dere,False,False,RIVERSIDE
pure,pure,Book of the Duchess 259,data/riverside_cats/BD_riv.cat,I wol do peynte with pure gold,False,False,RIVERSIDE
glad,glade,Book of the Duchess 338,data/riverside_cats/BD_riv.cat,With many glade gilde stremes,False,False,RIVERSIDE
cler,clere,Book of the Duchess 340,data/riverside_cats/BD_riv.cat,Blew bryght clere was the ayr,False,False,RIVERSIDE
smothe,smothe,Book of the Duchess 394,data/riverside_cats/BD_riv.cat,And leyde al smothe doun hys heres,False,False,RIVERSIDE
grene,grene,Book of the Duchess 398,data/riverside_cats/BD_riv.cat,Doun by a floury grene wente,False,False,RIVERSIDE
huge,huge,Book of the Duchess 447,data/riverside_cats/BD_riv.cat,To an ook an huge tree,False,False,RIVERSIDE
pure,pure,Book of the Duchess 490,data/riverside_cats/BD_riv.cat,The blood was fled for pure drede,False,False,RIVERSIDE
god,goode,Book of the Duchess 560,data/riverside_cats/BD_riv.cat,Graunt mercy goode frend quod he,False,False,RIVERSIDE
noble,noble,Book of the Duchess 834,data/riverside_cats/BD_riv.cat,So noble port and meyntenaunce,False,False,RIVERSIDE
god,goode,Book of the Duchess 860,data/riverside_cats/BD_riv.cat,Debonaire goode glade and sadde,False,False,RIVERSIDE
sobre,sobre,Book of the Duchess 880,data/riverside_cats/BD_riv.cat,She nas to sobre ne to glad,False,False,RIVERSIDE
god,goode,Book of the Duchess 891,data/riverside_cats/BD_riv.cat,But goode folk over al other,False,False,RIVERSIDE
softe,softe,Book of the Duchess 919,data/riverside_cats/BD_riv.cat,And which a goodly softe speche,False,False,RIVERSIDE
god,goode,Book of the Duchess 948,data/riverside_cats/BD_riv.cat,And goode faire White she het,False,False,RIVERSIDE
fair,faire,Book of the Duchess 948,data/riverside_cats/BD_riv.cat,And goode faire White she het,False,False,RIVERSIDE
