line,vetted_scansion,vetted_normalized,computer_scansion,computer_normalized,match,syllables,penalty
The double sorwe of Troilus to tellen,u Su Su u SuS u Su,ususuusususu,u Su S u SuS u Su,usususususu,NO,11,0
That was the king Priamus sone of Troye,u S u S uSu S u S,ususususus,u S u S uSu S u S,ususususus,YES,10,0
In lovinge how his aventures fellen,u Su S u SuSu Su,usususususu,u Su S u SuSu Su,usususususu,YES,11,2
Fro wo to wele and after out of joye,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
My purpos is er that I part fro ye.,u Su S u S u S u S,ususususus,u Su S u S u S u S,ususususus,YES,10,10
Thesiphone thou help me for t’endite,uSuS u S u S uS,ususususus,SuSu S u  S uS,susususus,NO,9,7
Thise woful vers that wepen as I write!,u Su S u Su S u S,ususususus,S uS u S u S u S,susususus,NO,9,7
To thee clepe I thou goddesse of torment,u S u S u Su S uS,ususususus,S u S u S uS u S,susususus,NO,9,5
Thou cruel Furie sorwing ever in peine;,u Su Su Su S u S,ususususus,u Su Su Su Su S ,ususususus,YES,10,0
Help me that am the sorwful instrument,u S u S u Su SuS,ususususus,S u S u S uS uS,susususus,NO,9,15
That helpeth lovers as I can to pleine!,u Su Su S u S u S,ususususus,S u Su S u S u S,susususus,NO,9,7
For wel sit it the sothe for to seyne,u S u S u Su S u S,ususususus,u S u S u Su S u S,ususususus,YES,10,0
A woful wight to han a drery fere,u Su S u S u Su S,ususususus,S uS u S u S uS ,susususus,NO,9,5
And to a sorwful tale a sory chere.,u S u Su S u Su S,ususususus,S u S uS u S uS ,susususus,NO,9,5
For I that god of Loves servaunts serve,u S u S u Su Su S,ususususus,S u S u S uS uS ,susususus,NO,9,5
Ne dar to Love for min unliklinesse,u S u S u S SuS,ususussus,u S u Su S u SuS,ususususus,NO,10,1
Preyen for speed al sholde I therfor sterve,uS u S u S u Su S,ususususus,Su S u S u S uS ,susususus,NO,9,5
So fer am I fro his help in derknesse;,u S u S u S u S uS,ususususus,S u S u S u S u S,susususus,NO,9,5
But nathelees if this may doon gladnesse,u SuS u S u S uS,ususususus,u SuS u S u S uS,ususususus,YES,10,0
To any lover and his cause availe,u Su Su S u S uS,ususususus,u Su Su S u S uS,ususususus,YES,10,0
Have he my thank and min be this travaile!,u S u S u S u S uS,ususususus,Su  S u S u  S uS,susususus,NO,9,9
But ye loveres that bathen in gladnesse,u S uS u Su S Su,usususussu,u  SuS u Su S uS,ususususus,NO,10,2
If any drope of pitee in yow be,u Su S u Su S u S,ususususus,S uS u S u S u S,susususus,NO,9,15
Remembreth yow on passed hevinesse,uSu S u Su SuS,ususususus,uSu S u Su SuS,ususususus,YES,10,15
That ye han felt and on th adversitee,u S u S u S x SuSu,ususussusu,S u S u S u  SuS,susususus,NO,9,5
Of othere folk and thenketh how that ye,u Su S u Su S u S,ususususus,u SuS u S u S u S,ususususus,YES,10,22
Han felt that Love dorste yow displese;,u S u Su Su S uS,ususususus,u S u Su Su S uS,ususususus,YES,10,0
Or ye han wonne him with to greet an ese.,u S u S u S u S u S,ususususus,S u S u S u S u S ,susususus,NO,9,5
And preyeth for hem that ben in the cas,u Su S u S u S u S,ususususus,S u S u S u S u S,susususus,NO,9,7
Of Troilus as ye may after here,u SuS u S u Su S,ususususus,S uSu S u S u S,susususus,NO,9,17
That love hem bringe in heven to solas,u S u S u Su S uS,ususususus,u Su S u S u S uS,ususususus,YES,10,2
And eek for me preyeth to God so dere,u S u S uS u S u S,ususususus,S u S u  S u S uS,susususus,NO,9,19
That I have might to shewe in som manere,u S u S u S u S uS,ususususus,S u Su S u  S u S,susususus,NO,9,6
Swich peine and wo as Loves folk endure,u S u S u Su S uS,ususususus,u S u S u Su S uS,ususususus,YES,10,0
In Troilus unsely aventure.,u SuS uSu SuS,ususususus,u SuS uSu SuS,ususususus,YES,10,0
And biddeth eek for hem that been despeired,u Su S u S u S uS,ususususus,u Su S u S u S uS,ususususus,YES,10,15
In love that never nil recovered be,u S u Su S uSu S,ususususus,u Su S u S uSu S,ususususus,YES,10,13
And eek for hem that falsly been apeired,u S u S u Su S uS,ususususus,S u S u S uS u S,susususus,NO,9,6
Thorugh wikked tonges be it he or she;,u Su Su S u S u S,ususususus,Su Su Su  S u S ,susususus,NO,9,10
Thus biddeth God for his benignitee,u Su S u S uSuS,ususususus,u Su S u S uSuS,ususususus,YES,10,10
To graunte hem sone out of this world to pace,u S u S u S u S u S,ususususus,u S u S u S u S u S,ususususus,YES,10,2
