folder,file,line_number,oxford_text,green_scansion,v1_scansion,v2_scansion
in_progress,BD_gui_in_progress.csv,Book of the Duchess 143,That lith ful pale and nothing rody,u S u Sx u Su Su,      ,u S u Sx u Su Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 20,No wonder is for it no thing of newe is,u Su S u S u S u S u,u Sx u S u S u S ux S,u Su S u S u S u Sx u
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 21,A blind man can nat juggen wel in hewis,u S u S u Su S u Su,u S u S u Sx u S uS,u S u S u Su S u Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 36,For every wight which that to Rome went,u Su S u S u Su S,u SuS u S u S ux S,u Su S u S u Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 53,And ful of bawme is fletinge every mede,u S u Sx u Sux Su S,u S u Sx u Sux SuS xx,u S u Sx u Sux Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 64,The swalwe Proign with a sorwful lay,u Su Su S u Su S,      ,u Su Su S u Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 154,That was the tounes wal and Grekes yerde,u S u Su S u Su S,u S u Su S u Sx uSx,u S u Su S u Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 191,For yesterday whoso had with him been,u SuS uS u S u S,u SuSu Sx u S u S,u SuS uS u S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 278,Yes yes quod he and bet wole er I go,u S u S u S u S u S,         ,u S u S u S ux S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 307,And were it thing that me thoughte unsittinge,u Sx u S u S u SuSx,u Sx u S u x Su SuSx,u Sx u S u S ux SuSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 352,For me were lever thou and I and he,u S u Su S u S u S,u x Su Su S u S u S,u S ux Su S u S u S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 535,That to min hertes botme it is ysounded,u S u Su Sx u S uSu,u S u Su Sx u S uSx,u S u Su Sx u S uSu
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 590,As help me God ye shenden every deel,u S u S u Su Su S,u S x u S uS uSu S,u S u S u Su Su S
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 671,For every thing a ginning hath it nede,u Su S u Su S u S,u SuS u S uS u S xx,u Su S u Su S u Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 715,In every thing I woot ther lith mesure,u Su S u S u S uS,u SuS u S u S u xSx,u Su S u S u S uSx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 797,Wher it bicomth lo no wight on it sporneth,u S uS u S u S u Su,u S uS u S u S u Sx,u S uS u S u S u Su
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 804,And who may stoppen every wikked tonge,u S u Su Su Su Sx,u S u Su SuS ux Sx,u S u Su Su Su Sx
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 807,And seide He which that nothing undertaketh,u Sx u S u Su SuSu,u Sx u S u Su SuSx,u Sx u S u Su SuSu
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 899,But every word which that she of hir herde,u Su S u S u S u Sx,u SuS u S u x S u Sx,u Su S u S u S u Sx
