headword,word,tag,line_number,filename,context,text_type,source_file
holden,helde,v%pt_pl,The Shipman's Tale 2,data/riverside_cats/ShipT_riv.cat,That riche was for which men helde hym wys,RIVERSIDE,ShipT_gui_complete.csv
seien,seith,v%pr_pl,The Shipman's Tale 37,data/riverside_cats/ShipT_riv.cat,And he agayn he seith nat ones nay,RIVERSIDE,ShipT_gui_complete.csv
don,doon,v%inf,The Shipman's Tale 45,data/riverside_cats/ShipT_riv.cat,To doon plesaunce and also greet costage,RIVERSIDE,ShipT_gui_complete.csv
riden,ryde,v%inf,The Shipman's Tale 65,data/riverside_cats/ShipT_riv.cat,And eek an officer out for to ryde,RIVERSIDE,ShipT_gui_complete.csv
leten,lete,v%pr_1,The Shipman's Tale 73,data/riverside_cats/ShipT_riv.cat,And thus I lete hem ete and drynke and pleye,RIVERSIDE,ShipT_gui_complete.csv
letten,lette,v%inf,The Shipman's Tale 86,data/riverside_cats/ShipT_riv.cat,And eek he nolde that no man sholde hym lette,RIVERSIDE,ShipT_gui_complete.csv
ben,were,v%pt_3,The Shipman's Tale 102,data/riverside_cats/ShipT_riv.cat,But it were for an old appalled wight,RIVERSIDE,ShipT_gui_complete.csv
mouen,may,v%pr_1,The Shipman's Tale 118,data/riverside_cats/ShipT_riv.cat,For I may synge allas and weylawey,RIVERSIDE,ShipT_gui_complete.csv
beren,born,v%ppl,The Shipman's Tale 119,data/riverside_cats/ShipT_riv.cat,That I was born but to no wight quod she,RIVERSIDE,ShipT_gui_complete.csv
wenden,wende,v%inf,The Shipman's Tale 121,data/riverside_cats/ShipT_riv.cat,Wherfore I thynke out of this land to wende,RIVERSIDE,ShipT_gui_complete.csv
forbeden,forbede,v%pr_3,The Shipman's Tale 125,data/riverside_cats/ShipT_riv.cat,And seyde Allas my nece God forbede,RIVERSIDE,ShipT_gui_complete.csv
gon,goon,v%inf,The Shipman's Tale 137,data/riverside_cats/ShipT_riv.cat,Ne shal I nevere for to goon to helle,RIVERSIDE,ShipT_gui_complete.csv
kissen,kiste,v%pt_pl,The Shipman's Tale 141,data/riverside_cats/ShipT_riv.cat,Thus been they sworn and heerupon they kiste,RIVERSIDE,ShipT_gui_complete.csv
