source_file,exception_count,headword,word,tag,line_number,filename,context,text_type
ShipT_gui_complete.csv,59,seien,seith,v%pr_pl,The Shipman's Tale 37,data/riverside_cats/ShipT_riv.cat,And he agayn he seith nat ones nay,RIVERSIDE
ShipT_gui_complete.csv,59,don,doon,v%inf,The Shipman's Tale 45,data/riverside_cats/ShipT_riv.cat,To doon plesaunce and also greet costage,RIVERSIDE
ShipT_gui_complete.csv,59,mouen,may,v%pr_1,The Shipman's Tale 118,data/riverside_cats/ShipT_riv.cat,For I may synge allas and weylawey,RIVERSIDE
ShipT_gui_complete.csv,59,beren,born,v%ppl,The Shipman's Tale 119,data/riverside_cats/ShipT_riv.cat,That I was born but to no wight quod she,RIVERSIDE
ShipT_gui_complete.csv,59,gon,goon,v%inf,The Shipman's Tale 137,data/riverside_cats/ShipT_riv.cat,Ne shal I nevere for to goon to helle,RIVERSIDE
ShipT_gui_complete.csv,59,mouen,may,v%pr_1,The Shipman's Tale 160,data/riverside_cats/ShipT_riv.cat,But out it moot I may namoore abyde,RIVERSIDE
ShipT_gui_complete.csv,59,witen,woot,v%pr_pl,The Shipman's Tale 173,data/riverside_cats/ShipT_riv.cat,And wel ye woot that wommen naturelly,RIVERSIDE
ShipT_gui_complete.csv,59,ben,am,v%pr_1,The Shipman's Tale 181,data/riverside_cats/ShipT_riv.cat,An hundred frankes or ellis I am lorn,RIVERSIDE
ShipT_gui_complete.csv,59,lenen,lene,v%imp,The Shipman's Tale 186,data/riverside_cats/ShipT_riv.cat,Lene me this somme or ellis moot I deye,RIVERSIDE
ShipT_gui_complete.csv,59,lenen,lene,v%imp,The Shipman's Tale 187,data/riverside_cats/ShipT_riv.cat,Daun John I seye lene me thise hundred frankes,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_1,The Shipman's Tale 188,data/riverside_cats/ShipT_riv.cat,Pardee I wol nat faille yow my thankes,RIVERSIDE
ShipT_gui_complete.csv,59,don,doon,v%inf,The Shipman's Tale 189,data/riverside_cats/ShipT_riv.cat,If that yow list to doon that I yow praye,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_1,The Shipman's Tale 190,data/riverside_cats/ShipT_riv.cat,For at a certeyn day I wol yow paye,RIVERSIDE
ShipT_gui_complete.csv,59,don,doon,v%inf,The Shipman's Tale 191,data/riverside_cats/ShipT_riv.cat,And doon to yow what plesance and service,RIVERSIDE
ShipT_gui_complete.csv,59,mouen,may,v%pr_1,The Shipman's Tale 192,data/riverside_cats/ShipT_riv.cat,That I may doon right as yow list devise,RIVERSIDE
ShipT_gui_complete.csv,59,don,doon,v%inf,The Shipman's Tale 192,data/riverside_cats/ShipT_riv.cat,That I may doon right as yow list devise,RIVERSIDE
ShipT_gui_complete.csv,59,don,do,v%pr_1,The Shipman's Tale 193,data/riverside_cats/ShipT_riv.cat,And but I do God take on me vengeance,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_1,The Shipman's Tale 200,data/riverside_cats/ShipT_riv.cat,I wol delyvere yow out of this care,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_1,The Shipman's Tale 201,data/riverside_cats/ShipT_riv.cat,For I wol brynge yow an hundred frankes,RIVERSIDE
ShipT_gui_complete.csv,59,shulen,shal,v%pr_1,The Shipman's Tale 207,data/riverside_cats/ShipT_riv.cat,Gooth now and beeth as trewe as I shal be,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_pl,The Shipman's Tale 215,data/riverside_cats/ShipT_riv.cat,Quod she What sire how longe wol ye faste,RIVERSIDE
ShipT_gui_complete.csv,59,willen,wol,v%pr_pl,The Shipman's Tale 216,data/riverside_cats/ShipT_riv.cat,How longe tyme wol ye rekene and caste,RIVERSIDE
ShipT_gui_complete.csv,59,gon,go,v%pr_pl,The Shipman's Tale 223,data/riverside_cats/ShipT_riv.cat,What lat us heere a messe and go we dyne,RIVERSIDE
ShipT_gui_complete.csv,59,shulen,shul,v%pr_pl,The Shipman's Tale 228,data/riverside_cats/ShipT_riv.cat,Scarsly amonges twelve tweye shul thryve,RIVERSIDE
ShipT_gui_complete.csv,59,mouen,may,v%pr_pl,The Shipman's Tale 230,data/riverside_cats/ShipT_riv.cat,We may wel make chiere and good visage,RIVERSIDE
ShipT_gui_complete.csv,59,ben,be,v%imp,The Shipman's Tale 242,data/riverside_cats/ShipT_riv.cat,As be to every wight buxom and meke,RIVERSIDE
ShipT_gui_complete.csv,59,ben,be,v%imp,The Shipman's Tale 243,data/riverside_cats/ShipT_riv.cat,And for to kepe oure good be curious,RIVERSIDE
ShipT_gui_complete.csv,59,governen,governe,v%imp,The Shipman's Tale 244,data/riverside_cats/ShipT_riv.cat,And honestly governe wel oure hous,RIVERSIDE
