headword,word,line_number,filename,context,is_elided,is_final,text_type
long,longe,Book of the Duchess 20,data/riverside_cats/BD_riv.cat,Nat longe tyme to endure,False,False,RIVERSIDE
olde,olde,Book of the Duchess 53,data/riverside_cats/BD_riv.cat,That clerkes had in olde tyme,False,False,RIVERSIDE
long,longe,Book of the Duchess 79,data/riverside_cats/BD_riv.cat,Hom for it was a longe terme,False,False,RIVERSIDE
wel,wele,Book of the Duchess 82,data/riverside_cats/BD_riv.cat,It was not wele he dwelte so,False,False,RIVERSIDE
glad,glade,Book of the Duchess 338,data/riverside_cats/BD_riv.cat,With many glade gilde stremes,False,False,RIVERSIDE
cler,clere,Book of the Duchess 340,data/riverside_cats/BD_riv.cat,Blew bryght clere was the ayr,False,False,RIVERSIDE
god,goode,Book of the Duchess 560,data/riverside_cats/BD_riv.cat,Graunt mercy goode frend quod he,False,False,RIVERSIDE
god,goode,Book of the Duchess 860,data/riverside_cats/BD_riv.cat,Debonaire goode glade and sadde,False,False,RIVERSIDE
god,goode,Book of the Duchess 891,data/riverside_cats/BD_riv.cat,But goode folk over al other,False,False,RIVERSIDE
god,goode,Book of the Duchess 948,data/riverside_cats/BD_riv.cat,And goode faire White she het,False,False,RIVERSIDE
fair,faire,Book of the Duchess 948,data/riverside_cats/BD_riv.cat,And goode faire White she het,False,False,RIVERSIDE
muche,moche,Book of the Duchess 986,data/riverside_cats/BD_riv.cat,Had as moche debonairte,False,False,RIVERSIDE
long,longe,Book of the Duchess 1148,data/riverside_cats/BD_riv.cat,Noght longe tyme leve hyt wel,False,False,RIVERSIDE
muche,moche,Book of the Duchess 1197,data/riverside_cats/BD_riv.cat,So moche beaute trewely,False,False,RIVERSIDE
heigh,hye,The Clerk's Tale 135,data/riverside_cats/ClT_riv.cat,And taak a wyf for hye Goddes sake,False,False,RIVERSIDE
wroth,wrothe,The Clerk's Tale 437,data/riverside_cats/ClT_riv.cat,Were wrothe she wolde bryngen hem aton,False,False,RIVERSIDE
long,longe,The Clerk's Tale 442,data/riverside_cats/ClT_riv.cat,Nat longe tyme after that this Grisild,False,False,RIVERSIDE
ouen,owene,The Clerk's Tale 504,data/riverside_cats/ClT_riv.cat,Youre owene thyng werketh after youre wille,False,False,RIVERSIDE
yong,yonge,The Clerk's Tale 567,data/riverside_cats/ClT_riv.cat,Have heer agayn youre litel yonge mayde,False,False,RIVERSIDE
