headword,word,line_number,filename,context,is_elided,is_final,text_type
ouen,owen,Troilus and Criseyde; Book II 445,data/riverside_cats/TC2_riv.cat,Til I myn owen herte blood may see,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book II 474,data/riverside_cats/TC2_riv.cat,No wis quod he myn owen nece dere,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book II 652,data/riverside_cats/TC2_riv.cat,For of hire owen thought she wex al reed,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book II 871,data/riverside_cats/TC2_riv.cat,My deere herte and al myn owen knyght,False,False,RIVERSIDE
god,good,Troilus and Criseyde; Book II 1209,data/riverside_cats/TC2_riv.cat,Of his good wille and doth hym nat to deye,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book II 1486,data/riverside_cats/TC2_riv.cat,Deiphebus of his owen curteisie,False,False,RIVERSIDE
west,west,The Clerk's Tale 57,data/riverside_cats/ClT_riv.cat,Ther is at the west syde of Ytaille,False,False,RIVERSIDE
laste,last,The Clerk's Tale 266,data/riverside_cats/ClT_riv.cat,That may be founde as fer as last Ytaille,False,False,RIVERSIDE
west,west,The Clerk's Tale 945,data/riverside_cats/ClT_riv.cat,So noble array in al West Lumbardye,False,False,RIVERSIDE
heigh,heigh,The Clerk's Tale 991,data/riverside_cats/ClT_riv.cat,And moore plesant for hire heigh lynage,False,False,RIVERSIDE
troian,troian,House of Fame 207,data/riverside_cats/HF_riv.cat,Of al the Troian nacion,False,False,RIVERSIDE
soth,soth,House of Fame 351,data/riverside_cats/HF_riv.cat,O soth ys every thing ys wyst,False,False,RIVERSIDE
bon,bon,House of Fame 1022,data/riverside_cats/HF_riv.cat,Seynt Julyan loo bon hostel,False,False,RIVERSIDE
right,ryght,House of Fame 1294,data/riverside_cats/HF_riv.cat,The castelyate on my ryght hond,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 108,data/riverside_cats/TC3_riv.cat,That shal I wreke upon myn owen lif,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 147,data/riverside_cats/TC3_riv.cat,Lo this mene I myn owen swete herte,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 218,data/riverside_cats/TC3_riv.cat,Now lat hire wende unto hire owen place,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 424,data/riverside_cats/TC3_riv.cat,Ech to his owen nedes gan entende,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 596,data/riverside_cats/TC3_riv.cat,With a certein of hire owen men,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 1101,data/riverside_cats/TC3_riv.cat,Allas youre owen Troilus is lorn,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 1303,data/riverside_cats/TC3_riv.cat,Iwys quod she myn owen hertes list,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 1485,data/riverside_cats/TC3_riv.cat,But natheles myn owen lady bright,False,False,RIVERSIDE
real,real,Troilus and Criseyde; Book III 1534,data/riverside_cats/TC3_riv.cat,Retorned to his real paleys soone,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book III 1820,data/riverside_cats/TC3_riv.cat,Is with Criseyde his owen herte swete,False,False,RIVERSIDE
graunt,grant,The Canon's Yeoman's Tale 1380,data/riverside_cats/CYT_riv.cat,Quod the chanoun and farwel grant mercy,False,False,RIVERSIDE
bright,bright,The Second Nun's Tale 120,data/riverside_cats/SNT_riv.cat,This mayden bright Cecilie as hir lif seith,False,False,RIVERSIDE
fals,fals,Book of the Duchess 618,data/riverside_cats/BD_riv.cat,For fals Fortune hath pleyd a game,False,False,RIVERSIDE
fair,fair,Book of the Duchess 909,data/riverside_cats/BD_riv.cat,To make that fair that trewly she,False,False,RIVERSIDE
chef,chef,Book of the Duchess 910,data/riverside_cats/BD_riv.cat,Was hir chef patron of beaute,False,False,RIVERSIDE
troian,troian,Troilus and Criseyde; Book I 145,data/riverside_cats/TC1_riv.cat,But the Troian gestes as they felle,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book I 407,data/riverside_cats/TC1_riv.cat,And if that at myn owen lust I brenne,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book I 509,data/riverside_cats/TC1_riv.cat,Now artow hent now gnaw thin owen cheyne,False,False,RIVERSIDE
glad,glad,Troilus and Criseyde; Book I 1041,data/riverside_cats/TC1_riv.cat,Adieu Be glad God spede us bothe two,False,False,RIVERSIDE
wight,wight,The Reeve's Tale 4086,data/riverside_cats/RvT_riv.cat,I is ful wight God waat as is a raa,False,False,RIVERSIDE
ouen,awen,The Reeve's Tale 4239,data/riverside_cats/RvT_riv.cat,I is thyn awen clerk swa have I seel,False,False,RIVERSIDE
chef,chief,The Knight's Tale 1057,data/riverside_cats/KnT_riv.cat,Which of the castel was the chief dongeoun,False,False,RIVERSIDE
chef,chief,The Knight's Tale 1730,data/riverside_cats/KnT_riv.cat,And thou hast maked hym thy chief squier,False,False,RIVERSIDE
right,right,The Knight's Tale 1959,data/riverside_cats/KnT_riv.cat,A citole in hir right hand hadde she,False,False,RIVERSIDE
paien,payen,The Knight's Tale 2370,data/riverside_cats/KnT_riv.cat,With alle the rytes of his payen wyse,False,False,RIVERSIDE
heigh,heigh,The Knight's Tale 2537,data/riverside_cats/KnT_riv.cat,The lord hath of his heigh discrecioun,False,False,RIVERSIDE
right,right,The Knight's Tale 2905,data/riverside_cats/KnT_riv.cat,Upon the right hond wente olde Egeus,False,False,RIVERSIDE
lift,left,The Knight's Tale 2953,data/riverside_cats/KnT_riv.cat,Upon the left hand with a loud shoutynge,False,False,RIVERSIDE
north,north,The Friar's Tale 1413,data/riverside_cats/FriT_riv.cat,Brother quod he fer in the north contree,False,False,RIVERSIDE
fin,fyn,The Nun's Priest's Tale 2859,data/riverside_cats/NPT_riv.cat,His coomb was redder than the fyn coral,False,False,RIVERSIDE
west,west,The Nun's Priest's Tale 3017,data/riverside_cats/NPT_riv.cat,And at the west gate of the toun quod he,False,False,RIVERSIDE
west,west,The Nun's Priest's Tale 3035,data/riverside_cats/NPT_riv.cat,Unto the west gate of the toun and fond,False,False,RIVERSIDE
grek,greek,The Nun's Priest's Tale 3228,data/riverside_cats/NPT_riv.cat,False dissymulour o Greek Synon,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 49,data/riverside_cats/TC5_riv.cat,Whi nyl I helpen to myn owen cure,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 63,data/riverside_cats/TC5_riv.cat,Whan she forgoth hire owen swete herte,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 521,data/riverside_cats/TC5_riv.cat,And to Pandare his owen brother deere,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 588,data/riverside_cats/TC5_riv.cat,What joie hastow thyn owen folk to spille,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 865,data/riverside_cats/TC5_riv.cat,For love of Troilus hire owen knyght,False,False,RIVERSIDE
god,good,Troilus and Criseyde; Book V 1081,data/riverside_cats/TC5_riv.cat,And my good word al sholde I lyven evere,False,False,RIVERSIDE
bright,bryght,Troilus and Criseyde; Book V 1241,data/riverside_cats/TC5_riv.cat,Lay kyssyng ay his lady bryght Criseyde,False,False,RIVERSIDE
bright,bryght,Troilus and Criseyde; Book V 1247,data/riverside_cats/TC5_riv.cat,My lady bryght Criseyde hath me bytrayed,False,False,RIVERSIDE
bright,bright,Troilus and Criseyde; Book V 1264,data/riverside_cats/TC5_riv.cat,God wot I wende O lady bright Criseyde,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 1315,data/riverside_cats/TC5_riv.cat,And to Criseyde his owen lady deere,False,False,RIVERSIDE
ouen,owen,Troilus and Criseyde; Book V 1344,data/riverside_cats/TC5_riv.cat,Foryeve it me myn owen swete herte,False,False,RIVERSIDE
