source_folder,file,line_number,target_syllables,oxford_text,green_scansion,generated_scansion,green_syllables,generated_syllables,BLANK_GENERATED,FEMININE
in_progress,BD_gui_in_progress.csv,Book of the Duchess 143,8,That lith ful pale and nothing rody,u S u Sx u Su Su,      ,9,0,1,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 5,10,This see clepe I the tempestous matere,u S ux S u uSuS uSx,u S ux S u SuS uSx,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 8,10,O lady min that called art Cleo,u Su S u Su u S,S uS u S uS u S,9,9,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 10,10,To rime wel this book til I have do,u Su S u S Su S u S,u Sx u S u S u Su S,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 12,10,Forwhy to every lovere I me excuse,uS u Su Su u x uS,uS u SuS uxx S x uSx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 20,10,No wonder is for it no thing of newe is,u Su S u S u S u S u,u Sx u S u S u S ux S,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 21,10,A blind man can nat juggen wel in hewis,u S u S u Su S u Su,u S u S u Sx u S uS,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 22,10,Ye knowe eek that in forme of speche is chaunge,u Su S u u Sx u Sx u Sx,u Sx u S u Sx u Sx u Sx,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 27,10,Eek for to winne love in sondry ages,u S u Su S u Su Sx,u S u Sx ux S uS uS,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 36,10,For every wight which that to Rome went,u Su S u S u Su S,u SuS u S u S ux S,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 40,10,As thus in open doing or in chere,u S u Su Su S u Sx,S u S uS u S u Sx,10,9,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 53,10,And ful of bawme is fletinge every mede,u S u Sx u Sux Su S,u S u Sx u Sux SuS xx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 64,10,The swalwe Proign with a sorwful lay,u Su Su S u Su S,      ,10,0,1,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 81,10,And fond two othere ladies sete and she,u S u Sux Su S u S,u S u Sux SuS ux S x,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 98,10,Uncle quod she your maistresse is not here,uS u S u Su S u Sx,ux S u S uSu S u Sx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 123,10,For Goddes love is than the assege aweye,u Su S u S x uS uS,       ,10,0,1,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 132,10,My wit is for to arede it al to lene,u S u S u xS u S u S,u S u S u Sux S u S xx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 134,10,And I your borow ne never shal for me,u S u Sx u Su S u S,u S u Su S uS u S x,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 139,10,And ye it wiste in al the toun of Troye,u S u Sx u S u S u S,         ,10,0,1,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 140,10,I jape nought as ever have I joye,u Su S u Su S u S,u Sx u S uS ux S uS,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 151,10,In many an unkouth glad and deep matere,u Sx u Su S u S uS,u Su S uS u S u Sxx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 154,10,That was the tounes wal and Grekes yerde,u S u Su S u Su S,u S u Su S u Sx uSx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 168,10,Is selde yseye in o persone yfere,u Sx uS u S uS uS,u Su Su S u Sux Sxx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 174,10,As any men that liveth under the sonne,u Su S u Sx uS u Sx,u Su S u Su Sx u Sx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 184,10,Of Troilus the same thing trowe I,u SuS u Su S u S,u SuS u Sx u Su S,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 191,10,For yesterday whoso had with him been,u SuS uS u S u S,u SuSu Sx u S u S,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 192,10,He might han wondred upon Troilus,u S u Su uS SuS,u S u Su Su SuS,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 195,10,And thorugh the feld in every wightes ere,u Su S u S uS Su S,u Su S u S uSu Sx xx,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 207,10,To suche as him thinketh able for to thrive,u S u S ux Su S u Sx,u Sx u S uS ux S u Sx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 232,10,For nece by the goddesse Minerve,u Su S u Su SuS,     ,10,0,1,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 233,10,And Jupiter that maketh the thondre ringe,u SuS u Sx S ux Sx,u SuS u Su S ux Sx,9,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 260,10,And sithen th ende is every tales strengthe,u Su ux S u Su Su Sx,u Su  Sx u SuS ux Sx,11,10,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 276,10,And seide Lord so faste ye m avise,u Su S u Su S u Sx,u Su S u Su S  uSx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 277,10,Sey ye me never er now what sey ye no,u S x Sx u S u S u S,u S x uS u S u S u S,9,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 278,10,Yes yes quod he and bet wole er I go,u S u S u S u S u S,         ,10,0,1,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 281,10,For to every wight som goodly aventure,u S ux S u Su SuS,u S uxS u S ux SuSx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 284,10,Whan that it cometh but wilfully it weiven,u S u Sx u SuS u Su,u S u Su S uSu S ux,11,11,0,1
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 288,10,Good aventure O bele nece have ye,u SuSx u Su S u S,u SuSx u Sx ux Su S,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 293,10,Yif me youre hond for in this world is noon,u x ux S u S u S u S,u x Su S u S u S u S,9,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 307,10,And were it thing that me thoughte unsittinge,u Sx u S u S u SuSx,u Sx u S u x Su SuSx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 323,10,But if ye lete him deye I wol sterve,u S u S u Su S u Sx,u S u Su S u S u Sx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 324,10,Have here my trouthe nece I nil not lien,ux Sx u Su S Su u S uS,ux Sx u Sx ux S u S uS,12,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 327,10,And seide If that ye doon us bothe dyen,u Sx u S u S u Su Sx,u Sx u S u S u Sx uS,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 333,10,I see him deye ther he goth upright,u S u Su S u S uS,S u S u S u S uS,10,9,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 342,10,To make amendes of so cruel a dede,u Sx uSu S u S u Sx,u Sx uSu S u Su S xx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 352,10,For me were lever thou and I and he,u S u Su S u S u S,u x Su Su S u S u S,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 369,10,Ther ayeins answere I thus anoon,S uSu Sxx u S uS,S uS uSx u S uS,9,9,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 373,10,To temple go that he th images eteth,u Su S u S ux Su Sx,u Su S u S  uSu Sx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 387,10,Thoughte I shal fele what he meneth ywis,ux S u Su S u Sx uS,ux S u Sx u S uS uS,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 393,10,Thenk eek how elde wasteth every houre,u S u Su Su Su Sx,u S u Sx uS uSu Sx,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 401,10,Whan that him thinketh a womman bereth hir hi,u S u Sx u Su S u S,u S u Su S uS xx u S,10,10,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 406,10,Nece I bidde wish yow no more sorwe,Sx u Su S u S u Su,Sx u Sx u S u Su Sx,10,9,0,0
in_progress,TC2_gui_in_progress.csv,Troilus and Criseyde; Book II 427,10,For so astonied am I that I deie,u S uSu S u S u S,u x SuSu S u S u S,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 5,10,In gentil hertes ay redy to repaire,u Su Sx u Su S uSx,u Su Su S xu S uSx,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 8,10,In hevene and helle in erthe and salte see,u Sxx u Sx u Sx u Su S,u Sux S ux S ux S ux S,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 16,10,Thorugh which that thinges liven alle and be,ux S u Su Su Sx u S,uS u S uS ux Sx u S,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 27,10,And hie or lowe after a wight entendeth,u S u Sx uS u S uSu,u S u Sx uS u S uSx,11,10,0,1
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 28,10,The joyes that he hath your might him sendeth,u Su S u S u S u Su,u Su S u S u S u Sx,11,10,0,1
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 31,10,Ye knowe al thilke covered qualitee,u Sx u Su Sux SuS,u Sx u Sx uSu SuS,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 45,10,Caliope thy vois be now present,uSuS u S u S uS,SuSx u S u S uS,10,9,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 77,10,Continuaunce I wolde yow biseke,uSuS u Su S uSx,SuSx u Su S uSx,10,9,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 86,10,For she was wis and lovede him never the lasse,u S u S u Sxx u Sx u Sx,u x S u S uSx u S u Sx,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 130,10,Ye wolde somtime freendly on me see,u Su Sux Su S u S,u Sx uSu Su S u S,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 131,10,And thanne agren that I may ben he,u Sx uSu S u S u S,u Su Su S u S u S,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 137,10,Under your yerde egal to min offence,uS u Sx uS u S uSx,ux S uSx uS u S uSx,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 151,10,Were I a god ye sholde sterve as yerne,ux S u S u Su Sx u Sx,ux S u S u Sx ux S uSx,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 152,10,That heren wel this man wol nothing yerne,u Su S u S u Su Sx,u Sx u S u S uS uSx,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 185,10,Immortal god quod he that mayst nought dyen,uSu S u S u S u Sx,uSu S u S u S u Su,10,11,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 223,10,Delivered been and seide that him leste,uSux S u Su S u Sx,uSuS u S ux S u Sx,10,10,0,0
in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 232,10,Whan every wight was voided but they two,u Sxu S u Su S u S,u SuS u S ux S u S,10,10,0,0
gold,GP_gold.csv,11,10,So priketh hem nature in hir corages,u Su S uS u S uSu,u Su S uSx u S uSx,11,10,0,1
gold,GP_gold.csv,12,10,Than longen folk to goon on pilgrimages,u Su S u S u SuSu,u Su S u S u SuSx,11,10,0,1
gold,GP_gold.csv,15,10,And specially from every shires ende,u SuS u Su Su S,u SuSu S uxS ux Sx,10,10,0,0
gold,GP_gold.csv,16,10,Of Engelond to Caunterbury they wende,u SuS u SuSu S u,     ,11,0,1,1
gold,GP_gold.csv,22,10,To Caunterbury with ful devout corage,u SuSu S u Su Su,     ,11,0,1,1
gold,GP_gold.csv,50,10,And ever honoured for his worthinesse,u Su SuS u S uSu,u Su Sux S u SuSx,11,10,0,1
gold,GP_gold.csv,53,10,Aboven alle naciouns in Pruce,uSu S uSuS u S,uSu Su SuS u Sx,10,10,0,0
gold,GP_gold.csv,57,10,Of Algezir and riden in Belmarie,u SuS u Su S uSu,u SuS u Sx u SuS,11,10,0,1
gold,GP_gold.csv,58,10,At Lieys was he and at Satalie,u S u S u S uSu,u Su S u S u SuS,9,10,0,0
